iter	MultiClass
0	1.378732803
1	1.370310575
2	1.361493305
3	1.352004876
4	1.343408734
5	1.334403273
6	1.325272209
7	1.316723477
8	1.30873498
9	1.302454992
10	1.295201109
11	1.287366209
12	1.279160019
13	1.271022737
14	1.263350218
15	1.256252317
16	1.249166081
17	1.242605069
18	1.235167274
19	1.226721122
20	1.22038363
21	1.213149886
22	1.204713434
23	1.196870151
24	1.190342979
25	1.183118772
26	1.176332143
27	1.169127399
28	1.162360958
29	1.155161261
30	1.147357739
31	1.140968082
32	1.135747169
33	1.128987138
34	1.12386262
35	1.116932144
36	1.10948809
37	1.102038119
38	1.094870188
39	1.08831358
40	1.081490434
41	1.075244586
42	1.068714247
43	1.063085133
44	1.056780933
45	1.050150634
46	1.04482812
47	1.039334417
48	1.033105327
49	1.026919971
50	1.020417919
51	1.015367605
52	1.010467672
53	1.004520513
54	0.9989131566
55	0.9936722479
56	0.9869823466
57	0.9813704612
58	0.9750232541
59	0.9707657185
60	0.9662215801
61	0.9618651242
62	0.9562355986
63	0.9511970835
64	0.9470291587
65	0.9415556141
66	0.9355463647
67	0.9306836622
68	0.9257611453
69	0.9207884824
70	0.9162909254
71	0.9108140711
72	0.9048921328
73	0.9002505995
74	0.8953209097
75	0.8903700826
76	0.885411073
77	0.8803963059
78	0.8747068645
79	0.8697045621
80	0.865330864
81	0.8606206346
82	0.8561047061
83	0.8511691564
84	0.8465950123
85	0.8423978273
86	0.8385100916
87	0.8348945686
88	0.8303011005
89	0.8254751553
90	0.8216007848
91	0.8167923332
92	0.8125867804
93	0.8079515686
94	0.8031890084
95	0.798401465
96	0.79399978
97	0.7903399707
98	0.7867409117
99	0.7833173282
100	0.7794592132
101	0.7753582474
102	0.7714972413
103	0.7680195317
104	0.7646573405
105	0.761768867
106	0.7578358727
107	0.7535905821
108	0.7494647506
109	0.7459110608
110	0.742506216
111	0.7384528842
112	0.7351331366
113	0.7322008424
114	0.7282739193
115	0.724281431
116	0.720413982
117	0.7164680953
118	0.7133230254
119	0.7099407761
120	0.706701275
121	0.7030087228
122	0.7002199355
123	0.6966385559
124	0.6937163439
125	0.6898536011
126	0.6864967192
127	0.6831393403
128	0.6805669721
129	0.67793052
130	0.6745866564
131	0.6712562693
132	0.6682552141
133	0.6647839407
134	0.6611834432
135	0.6586080507
136	0.6563784692
137	0.6529828997
138	0.6498573234
139	0.6460650367
140	0.6436409712
141	0.6418450408
142	0.6387997985
143	0.6365603221
144	0.6334982448
145	0.6304314883
146	0.6273682475
147	0.6248015331
148	0.6217632273
149	0.6196313908
150	0.6176922379
151	0.6147566287
152	0.6122621109
153	0.6095123882
154	0.6064255426
155	0.6032547109
156	0.5997339069
157	0.5969918853
158	0.5940654352
159	0.591362865
160	0.5884345197
161	0.5859039427
162	0.5835366786
163	0.5807797461
164	0.5774097713
165	0.5745190594
166	0.5713631783
167	0.5685337119
168	0.5659984628
169	0.563663936
170	0.5613998109
171	0.5594397126
172	0.5565017043
173	0.5538732174
174	0.5519640769
175	0.5495403126
176	0.5475014332
177	0.5460862671
178	0.5440840269
179	0.5414300513
180	0.5393290891
181	0.5366578981
182	0.5349416745
183	0.5331072656
184	0.5311056657
185	0.5291655841
186	0.5264841733
187	0.5237502449
188	0.5209773758
189	0.5183433174
190	0.5156921587
191	0.513359026
192	0.5110571499
193	0.50876438
194	0.5066520653
195	0.504308174
196	0.5025855502
197	0.5004652736
198	0.4984802883
199	0.4965206292
200	0.4945295291
201	0.4925751552
202	0.4902758963
203	0.4880147334
204	0.4859503926
205	0.4839298741
206	0.4822898292
207	0.4802827545
208	0.4783117902
209	0.4760834155
210	0.4741991228
211	0.4725147198
212	0.4701646795
213	0.4687364447
214	0.4667193974
215	0.4647182763
216	0.4631514831
217	0.460913921
218	0.4587513151
219	0.4572366029
220	0.4551007251
221	0.4537781592
222	0.4518531083
223	0.4500910842
224	0.4480656855
225	0.446498769
226	0.4447190398
227	0.4429588378
228	0.4414023814
229	0.4395940542
230	0.4376841902
231	0.4363089446
