iter	Passed	Remaining
0	710	354428
1	1312	326857
2	1933	320397
3	2551	316400
4	3189	315733
5	3829	315327
6	4488	316120
7	5113	314454
8	5724	312313
9	6336	310505
10	6986	310578
11	7633	310411
12	8274	309959
13	8898	308912
14	9514	307647
15	10127	306355
16	10750	305431
17	11378	304683
18	11964	302886
19	12585	302052
20	13220	301550
21	13863	301216
22	14487	300457
23	15129	300065
24	15763	299515
25	16430	299539
26	17120	299924
27	17743	299107
28	18365	298288
29	19016	297930
30	19656	297382
31	20288	296720
32	20919	296043
33	21556	295446
34	22186	294756
35	22843	294428
36	23593	295243
37	24382	296445
38	25090	296579
39	25890	297735
40	26576	297525
41	27232	296960
42	27867	296175
43	28524	295615
44	29166	294910
45	29792	294038
46	30398	292993
47	31010	292011
48	31685	291639
49	32335	291021
50	33011	290630
51	33656	289966
52	34306	289342
53	34973	288852
54	35633	288308
55	36278	287634
56	36923	286963
57	37555	286195
58	38178	285367
59	38811	284614
60	39481	284139
61	40132	283514
62	40775	282838
63	41381	281913
64	42011	281154
65	42643	280413
66	43280	279705
67	43922	279035
68	44590	278530
69	45229	277838
70	45870	277162
71	46487	276343
72	47141	275743
73	47774	275026
74	48394	274238
75	49002	273382
76	49621	272597
77	50276	272006
78	50915	271332
79	51560	270690
80	52181	269927
81	52806	269182
82	53430	268438
83	54037	267612
84	54656	266851
85	55295	266189
86	55929	265503
87	56634	265150
88	57317	264688
89	58004	264242
90	58637	263545
91	59304	263000
92	59942	262331
93	60566	261594
94	61173	260793
95	61771	259953
96	62381	259173
97	63034	258570
98	63677	257924
99	64294	257177
100	64915	256448
101	65526	255681
102	66131	254896
103	66770	254242
104	67429	253661
105	68051	252945
106	68675	252237
107	69278	251456
108	69896	250729
109	70488	249913
110	71092	249145
111	71705	248407
112	72329	247710
113	72963	247050
114	73584	246348
115	74200	245630
116	74826	244944
117	75473	244328
118	76109	243679
119	76713	242925
120	77353	242288
121	77951	241521
122	78569	240817
123	79204	240167
124	79834	239503
125	80418	238701
126	81038	238010
127	81651	237300
128	82285	236651
129	82903	235955
130	83514	235243
131	84141	234577
132	84744	233843
133	85355	233136
134	85962	232418
135	86555	231662
136	87170	230970
137	87787	230283
138	88408	229607
139	89014	228895
140	89628	228203
141	90233	227490
142	90854	226818
143	91474	226144
144	92087	225455
145	92704	224776
146	93312	224076
147	93914	223363
148	94542	222714
149	95149	222015
150	95773	221357
151	96359	220613
152	96966	219918
153	97596	219274
154	98212	218601
155	98809	217888
156	99416	217196
157	100042	216546
158	100673	215910
159	101275	215211
160	101874	214505
161	102499	213857
162	103134	213228
163	103747	212555
164	104347	211856
165	104964	211193
166	105563	210494
167	106194	209861
